city,lat,lng,workforce,sce_registered
الرياض,24.765,46.7885,310028,185819
الجبيل,26.9445,49.6764,35586,13979
جدة,21.5831,39.2044,109797,63082
بريدة,26.3602,43.9704,10111,4591
المدينة المنورة,24.4764,39.5738,12555,7089
الخبر,26.1895,50.1737,72910,37333
الدمام,26.2808,50.0333,70573,33416
رأس تنورة,26.6994,50.0852,4811,2069
مكة المكرمة,21.3915,39.833,16612,10376
حائل,27.4973,41.7127,4357,2034
الخرج,24.0828,47.3311,5158,2167
الرس,25.8602,43.5042,1739,775
أبها,18.2888,42.5345,11386,5657
الزلفي,26.2948,44.8681,570,205
عرعر,30.9744,41.0704,1531,840
تبوك,28.4569,36.5181,4175,2204
ينبع,24.1388,38.0283,8467,4199
المجمعة,25.9186,45.3631,1234,437
الباحة,20.0625,41.4643,1268,637
الخفجي,28.4253,48.4859,2256,668
الدوادمي,24.52,44.4045,1604,774
نجران,17.5727,44.3559,5959,2924
الطائف,21.3938,40.5478,4048,2321
الجوف,29.9697,40.2064,1895,956
الأحساء,25.3793,49.6253,7095,3109
العلا,26.5736,38.0218,292,130
عنيزة,26.0931,44.0041,2477,966
جازان,16.9132,42.5891,5615,2844
الوجه,26.2554,36.46,1170,594
بقيق,25.9536,49.5532,1494,672
شقراء,25.2148,45.2106,589,243
طريف,31.6535,38.691,559,328
بيشة,20.0048,42.6201,1086,453
وادي الدواسر,20.4448,44.8291,555,220
حفر الباطن,28.3754,45.9286,1447,684
القنفذة,19.15,41.1145,936,484
الافلاج,22.3041,46.7048,255,108
القريات,31.3093,37.3769,490,227
