month_index,cases
1,"2022-12,152500"
2,"2023-01,287000"
3,"2023-02,249000"
4,"2023-03,509500"
5,"2023-04,42000"
6,"2023-05,137000"
7,"2023-06,446500"
8,"2023-07,332000"
9,"2023-08,188000"
10,"2023-09,81000"
11,"2023-10,45000"
12,"2023-12,76000"
13,"2024-01,10000"
14,"2024-02,200500"
15,"2024-03,393000"
16,"2024-04,236000"
17,"2024-05,278000"
18,"2024-06,237000"
19,"2024-07,486000"
20,"2024-08,309000"
21,"2024-09,391500"
22,"2024-10,216500"
23,"2024-11,346500"
24,"2024-12,130000"
25,"2025-01,191000"
26,"2025-02,392000"
27,"2025-03,59000"
28,"2025-04,364500"
29,"2025-05,796500"
30,"2025-06,102000"
31,"2025-07,963000"
32,"2025-08,507750"
33,"2025-09,66000"
34,"2025-10,76000"
35,"2025-11,42000"
36,"2025-12,124500"
