city,lat,lng,offices,staff,licensed_pct
أبها,18.2198,42.5074,48,373,87.5
أحد المسارحة,16.7096,42.9531,4,14,100
أحد رفيده,18.1749,42.8288,7,12,100
الباحة,20.0122,41.4782,28,80,92.9
البدائع,25.996,43.7344,3,12,100
البكيرية,26.1432,43.6559,6,15,100
الجبيل,27.005,49.6446,23,160,95.7
الجموم,21.6247,39.6966,5,10,80
الخبر,26.3005,50.2014,171,10544,94.2
الخرج,24.1556,47.3179,28,100,100
الخفجي,28.439,48.4904,8,27,87.5
الدرعية,24.7843,46.5815,5,70,100
الدمام,26.4123,50.101,166,4339,95.8
الرس,25.8744,43.4915,8,34,100
الرياض,24.7648,46.6834,840,10386,93.2
الطائف,21.2767,40.4236,71,242,94.4
الظهران,26.3153,50.1421,4,497,75
العلا,26.5955,37.9344,6,189,50
العويقيلة,30.3585,42.2366,3,11,100
القريات,31.3356,37.3362,19,39,100
القطيف,26.5531,50.0119,18,67,100
القنفذة,19.1385,41.0817,9,41,100
القويعية,24.0576,45.2703,4,7,100
الليث,20.1505,40.263,3,5,100
المبرز,25.3998,49.5741,31,135,90.3
المخواة,19.7863,41.4383,5,11,100
المدينة المنورة,24.4748,39.6044,85,624,96.5
الموية,22.6086,41.3628,3,6,100
النعيرية,27.4696,48.4947,3,5,100
النماص,19.1192,42.1294,3,8,100
الهفوف,25.3705,49.5908,56,297,92.9
الوجه,26.2599,36.4468,3,6,66.7
بريدة,26.3793,43.9316,39,307,97.4
بقعاء,27.915,42.3675,3,9,100
بقيق,25.9303,49.6597,4,6,25
بلقرن,19.5329,41.8739,6,8,83.3
بيشة,19.9823,42.603,13,35,100
تاروت,26.5619,50.0376,11,30,54.5
تبوك,28.4084,36.5656,47,121,85.1
تربة,21.2208,41.6362,3,11,100
جازان,16.913,42.5712,70,466,98.6
جدة,21.5594,39.1761,428,2895,93
حائل,27.5239,41.6928,73,206,80.8
حفر الباطن,28.4325,45.9767,23,73,95.7
حقل,29.2853,34.9429,5,8,100
خليص,22.0818,39.3153,3,9,100
خميس مشيط,18.301,42.7303,42,201,88.1
دومة الجندل,29.8065,39.8663,6,12,66.7
رابغ,22.7987,39.0333,7,23,85.7
رفحاء,29.6322,43.5219,4,11,75
رنية,21.2525,42.8525,5,9,100
سكاكا,29.963,40.1994,27,73,81.5
سيهات,26.4748,50.0458,6,20,83.3
شروره,17.4842,47.1155,4,12,100
شقراء,25.197,44.6035,3,8,100
طريف,31.6644,38.6778,5,20,80
عرعر,30.9792,41.0213,15,23,86.7
عنيزة,26.0916,43.9962,15,70,100
قلوة,19.5206,41.0549,3,5,66.7
محايل عسير,18.5236,42.055,10,24,90
مكة المكرمة,21.401,39.8242,173,964,94.8
نجران,17.5683,44.2302,35,101,97.1
وادي الدواسر,20.4697,44.7864,8,22,87.5
ينبع,24.069,38.1193,7,119,85.7
