lat,lng,staff_count,sce_licensed_flag
24.7562,46.6822,9,1
24.511,44.401,2,1
26.2956,50.169,2,1
26.3,50.1742,3,1
26.3006,50.1719,5,1
21.5158,39.1676,2,1
21.5166,39.1825,5,1
21.7572,39.1868,4,1
21.5481,39.1614,4,1
24.7325,46.7732,5,1
24.6682,46.7295,7,1
24.7294,46.7681,12,1
27.455,41.6476,13,1
24.7382,46.7609,1,1
29.7971,39.8778,3,1
30.1336,40.3685,2,1
27.524,41.696,2,1
27.5241,41.6962,2,0
27.524,41.6866,1,1
27.5242,41.6948,2,0
27.4941,41.6982,6,1
27.524,41.6959,5,0
27.5243,41.6871,1,1
27.524,41.6877,4,1
27.9149,42.3675,5,1
24.7558,46.7063,0,1
21.5811,39.1444,4,1
24.7559,46.7064,1,1
24.7534,46.7433,0,1
24.7783,46.7094,0,1
24.7916,46.6572,0,1
25.1139,46.0983,0,1
21.5758,39.15,44,1
27.0043,49.6576,1,1
24.8052,46.6566,0,1
24.8308,46.6382,7,1
24.8251,46.6569,4,1
24.7945,46.6506,0,1
24.8731,46.6168,8,0
24.7438,46.6758,0,1
24.7852,46.7065,0,1
24.7913,46.7105,0,1
24.8705,46.6229,0,0
24.8048,46.6514,2,1
24.7758,46.6661,0,1
21.5507,39.1791,3,1
21.5515,39.1801,9,1
21.5032,39.1833,4,1
21.5771,39.1999,7,1
21.5629,39.1666,4,1
21.5594,39.1423,7,1
21.5939,39.131,27,1
24.7175,46.6835,0,1
24.7668,46.7553,0,1
24.7397,46.6841,0,1
24.7541,46.6773,5,0
24.6873,46.7325,0,1
24.7659,46.6615,0,1
26.3286,50.1798,56,1
26.3022,50.2144,8,1
21.6003,39.1916,4,1
21.5764,39.1481,3,1
21.5371,39.2079,4,1
26.2916,50.2089,4,1
28.2574,42.9274,1,1
21.6152,39.2123,4,1
16.987,42.8187,2,1
24.7709,46.7475,0,1
26.2851,50.1962,6,1
26.2879,50.1983,1,1
26.2849,50.1969,3,1
21.5542,39.1691,9,1
21.6003,39.1916,6,1
24.7781,46.6164,0,1
24.7184,46.6859,0,1
24.7523,46.6752,0,1
26.2896,50.1992,1,1
16.8803,42.5715,5,1
24.4754,39.5816,12,1
26.4076,50.1884,1,1
26.3782,50.1477,8,1
16.7205,42.95,2,1
16.7128,42.9466,3,1
16.5969,42.9361,5,1
21.5513,39.1898,3,1
21.7573,39.1869,3,1
21.541,39.1719,9,1
24.8199,46.7299,9,1
24.8024,46.7396,3,1
24.8303,46.7896,5,1
17.5333,44.2118,7,1
24.7853,46.7068,0,1
17.574,44.2326,5,1
17.8492,44.0253,3,1
17.5583,44.2307,2,1
17.5744,44.2327,6,1
17.5499,44.2245,5,1
28.4083,36.5655,3,1
26.3947,43.9469,7,1
31.6644,38.6779,1,1
24.807,46.6405,0,1
24.7681,46.6225,1,1
27.4784,41.7397,0,0
26.8527,40.3276,1,0
27.5241,41.6972,2,1
27.5129,41.6663,3,1
26.3514,43.9527,7,1
27.1786,42.4359,1,0
27.4673,41.6596,0,0
27.5002,41.6737,2,1
27.5105,41.6948,4,1
27.5108,41.6894,0,0
27.5171,41.6928,0,0
27.5212,41.6898,4,1
27.5214,41.6857,2,1
27.5243,41.6863,3,1
27.5245,41.6867,2,0
27.5243,41.687,2,0
26.3135,50.224,0,1
27.5241,41.6872,3,1
27.5243,41.6875,2,1
27.5241,41.6923,3,1
27.5241,41.6925,3,1
27.5241,41.6928,2,1
27.524,41.6942,5,1
27.5241,41.6943,3,1
24.7998,46.6908,0,1
21.3554,39.878,22,1
27.5242,41.6943,4,1
21.4177,39.8607,6,1
26.4526,50.0968,1,1
27.5241,41.6945,2,1
27.524,41.6944,3,1
27.5241,41.6945,3,1
27.5239,41.6947,3,1
27.524,41.6946,3,1
21.625,39.6725,2,1
27.524,41.6946,2,1
27.5241,41.6947,3,1
26.4411,50.1229,1,1
26.441,50.1231,1,1
27.524,41.6954,3,1
27.5242,41.6954,3,1
27.524,41.6957,8,1
26.4191,50.1117,1,1
24.7581,46.6744,0,1
24.762,46.6978,131,1
27.198,42.4509,1,1
27.4705,41.6191,3,1
27.4552,41.6322,2,1
27.915,42.3673,3,1
26.378,50.1226,1,1
27.5111,41.6983,2,1
24.7649,46.704,0,1
27.5798,41.7321,2,1
25.9922,40.8163,1,1
24.439,39.6359,2,1
27.4985,41.692,4,1
27.4941,41.6986,0,0
24.7642,46.7027,0,1
26.3899,50.0935,1,1
24.7671,46.7083,0,1
24.7674,46.7098,0,1
27.5214,41.6854,5,1
27.5214,41.6857,3,1
27.5213,41.686,2,1
27.5212,41.6861,3,1
27.5217,41.6859,3,1
27.5236,41.6843,3,1
27.5239,41.6913,2,1
27.5239,41.692,4,1
17.3827,42.545,2,1
27.5238,41.695,0,1
26.447,50.107,1,1
27.5236,41.6949,3,1
24.4836,39.5862,5,1
24.4835,39.5862,5,1
27.5237,41.6952,2,1
27.5239,41.6961,2,1
27.4898,41.679,1,0
27.5212,41.686,1,0
27.5239,41.6848,1,0
21.5542,39.1692,3,1
21.553,39.166,4,1
21.5748,39.1796,16,1
21.5739,39.1797,7,1
24.797,46.6541,2,1
21.3742,39.8336,4,1
21.3556,39.8825,4,1
21.3762,39.794,6,1
26.5583,50.0028,0,1
21.4087,39.7832,3,1
26.3014,50.2056,57,1
26.398,50.0461,7,1
30.9806,41.0233,4,1
26.4049,50.0624,6,1
26.3023,50.2139,9,1
26.3022,50.2138,2,1
24.488,39.595,15,1
29.6331,43.522,1,1
16.8823,42.5816,1,1
26.3979,50.0455,7,1
16.9146,42.5605,9,1
26.4466,50.1143,14,1
28.4329,45.9772,0,1
16.9174,42.5548,10,1
16.8978,42.5783,3,1
21.4028,39.7875,5,1
21.3555,39.8779,5,1
24.7951,46.6553,0,1
25.3922,49.5814,6,1
16.9093,42.5532,4,1
24.7862,46.6827,0,1
26.2164,50.1932,3,1
16.914,42.561,1,1
16.914,42.5612,4,0
24.4545,39.5857,6,1
25.394,49.5811,28,1
25.3748,49.559,2,1
25.3971,49.5598,3,1
25.3975,49.5599,3,1
25.3597,49.5904,7,1
16.909,42.5532,4,1
27.4691,41.7074,1,1
21.5273,39.1736,3,1
21.8583,39.2293,3,1
21.5275,39.1737,3,1
21.6032,39.1825,3,1
21.3756,39.8101,6,1
21.3709,39.8744,3,1
21.401,39.8799,7,1
21.2675,40.456,1,1
21.4023,39.7872,4,1
21.402,39.784,3,1
20.0185,41.4677,2,1
24.8281,46.6398,1,1
24.1494,47.314,2,1
20.4668,44.7701,2,1
24.747,46.7113,0,1
20.0184,41.4677,1,1
24.7199,46.689,5,1
25.5256,47.1806,1,1
24.7138,46.6723,2,1
24.7191,46.6707,5,1
20.0015,41.4677,3,1
24.7972,46.6332,1,1
25.5321,47.1764,1,1
21.3661,39.8285,2,1
21.4746,39.9403,5,1
24.8032,46.6578,1,1
21.351,39.9004,3,1
24.797,46.7106,3,1
21.2666,40.4084,4,1
24.7857,46.6596,0,1
24.765,46.6404,11,1
21.3739,39.8743,3,1
24.8446,46.6044,4,1
24.7765,46.6171,2,1
21.3895,39.7963,4,1
21.3977,39.7903,21,1
25.54,47.1831,0,1
24.7781,46.6163,2,1
24.7297,46.6699,26,1
24.7264,46.669,1,1
24.7681,46.5765,3,1
24.7255,46.6832,2,1
24.7184,46.6812,0,0
24.8039,46.6742,4,1
24.7892,46.6597,55,1
24.7183,46.6855,6,1
24.7746,46.6654,0,0
